type,depot1,depot2
10.0,57.0,7.0
11.0,58.0,43.0
11.0,59.0,49.0
30.0,60.0,60.0
30.0,61.0,61.0
311.0,62.0,63.0
30.0,64.0,64.0
30.0,65.0,65.0
30.0,66.0,66.0
30.0,67.0,67.0
30.0,68.0,68.0
