type,depot1,depot2
11.0,174.0,175.0
11.0,176.0,86.0
21.0,52.0,51.0
21.0,5.0,160.0
21.0,22.0,14.0
11.0,177.0,140.0
11.0,178.0,179.0
21.0,136.0,131.0
11.0,180.0,60.0
11.0,181.0,99.0
11.0,182.0,183.0
11.0,184.0,112.0
21.0,25.0,31.0
21.0,156.0,70.0
