type,depot1,depot2
30.0,18.0,18.0
30.0,19.0,19.0
311.0,20.0,21.0
311.0,22.0,23.0
311.0,24.0,25.0
30.0,26.0,26.0
30.0,27.0,27.0
311.0,28.0,29.0
311.0,30.0,31.0
30.0,32.0,32.0
311.0,33.0,34.0
311.0,35.0,36.0
30.0,37.0,37.0
311.0,38.0,39.0
