type,depot1,depot2
311.0,39.0,40.0
311.0,41.0,42.0
21.0,29.0,30.0
11.0,43.0,33.0
11.0,44.0,8.0
11.0,45.0,24.0
30.0,46.0,46.0
30.0,47.0,47.0
30.0,48.0,48.0
30.0,49.0,49.0
30.0,50.0,50.0
