type,depot1,depot2
21.0,51.0,54.0
10.0,57.0,11.0
30.0,58.0,58.0
30.0,59.0,59.0
10.0,60.0,31.0
311.0,61.0,62.0
30.0,63.0,63.0
311.0,64.0,65.0
30.0,66.0,66.0
10.0,67.0,7.0
